"id","accountid","tenantid","mrnumber","applicationnumber","applicationtype","applicationdate","marriagedate","issueddate","action","status","createdby","lastmodifiedby","createdtime","lastmodifiedtime","businessservice","workflowcode"
"b0ff7ee8-f0e5-4b8b-8d21-2fdb030df6f7","a34dc415-794d-4bf2-94a9-e776ef459366","od.vyasanagar",NULL,"MR-VSN-2022-01-03-000247","NEW",1641210697480,1607538599000,NULL,"INITIATE","INITIATED","a34dc415-794d-4bf2-94a9-e776ef459366","4b37393f-bbc3-4b09-9a9d-61bb9f35ba7a",1641210697480,1644230235257,"MR","MR"
"734fe176-b592-4daf-9d10-fe9f09ebed63","afa4b58c-e371-4185-afab-0c9f3edfff96","od.cuttack",NULL,"MR-CTC-2021-12-14-000196","NEW",1639469706328,1531943999000,NULL,"APPLY","DOCVERIFICATION","afa4b58c-e371-4185-afab-0c9f3edfff96","afa4b58c-e371-4185-afab-0c9f3edfff96",1639469706328,1639470289428,"MR","MR"
"12fbf1fe-4a76-4ea3-93eb-a67ca5dff7f8","c3d164b9-8812-4b0c-8d65-36af2c84f169","od.titilagarh",NULL,"MR-TTG-2021-12-10-000191","NEW",1639111593614,1626632999000,NULL,"SENDBACKTOCITIZEN","CITIZENACTIONPENDINGATDOCVERIFICATION","c3d164b9-8812-4b0c-8d65-36af2c84f169","5e0db21d-8347-4959-9da3-6e24090fdec8",1639111593614,1639567849657,"MR","MR"
"be9ad841-01b0-40a0-896a-3adaf4836451","a0d9984e-6bb8-470f-91cc-ecbffeae9d8e","od.balugaon",NULL,"MR-BLG-2021-12-16-000198","NEW",1639633114575,1581877799000,NULL,"INITIATE","INITIATED","a0d9984e-6bb8-470f-91cc-ecbffeae9d8e","a0d9984e-6bb8-470f-91cc-ecbffeae9d8e",1639633114575,1639633114575,"MR","MR"
"c2746763-359e-44b8-a915-95625c0a2868","d8716f50-0f5c-4bba-bc2a-f04537c54182","od.paralakhemundi","MR/PRL/000038","MR-PRL-2022-01-19-000443","CORRECTION",1642589738768,1360866599000,1642589765134,"INITIATE","INITIATED","234062c3-c6ad-4781-8f9c-0bc01fd2316b","234062c3-c6ad-4781-8f9c-0bc01fd2316b",1642589738768,1642589764693,"MR","MRCORRECTION"
"969a91bb-5a80-4040-8544-456c42bfffe1","c3d164b9-8812-4b0c-8d65-36af2c84f169","od.titilagarh",NULL,"MR-TTG-2021-12-16-000199","NEW",1639635103598,1626632999000,NULL,"REJECT","REJECTED","c3d164b9-8812-4b0c-8d65-36af2c84f169","5e0db21d-8347-4959-9da3-6e24090fdec8",1639635103598,1642400611091,"MR","MR"
"d082020d-3a06-4687-8b9f-a2f55500c6b9","130013bc-7e91-418f-81aa-a0401f627ad4","od.rairangpur","MR/RRG/000005","MR-RRG-2021-12-30-000229","NEW",1640849734271,1639420199000,1640854163917,"APPROVE","APPROVED","560709d6-f6be-47bb-a57e-cb71ebd9078e","f8ee8d90-83c2-42b0-9f50-835c4110f08b",1640849734271,1640854163461,"MR","MR"
"9c548083-ed6a-451e-8187-8e943563de6d","06435c88-0be8-4dda-b845-bdbbe1167663","od.sonepur","MR/SBR/000006","MR-SBR-2021-12-30-000231","NEW",1640859306400,1548613799000,1640862847016,"APPROVE","APPROVED","39a87557-18ee-4e12-a8f0-41c478130c4d","4066fdf0-0404-414c-bf37-89f30b903552",1640859306400,1640862846691,"MR","MR"
"c3db2535-774b-4eff-a7d5-9ccfc871edc5","3a8928a6-0948-487e-b96a-c4139bead3c1","od.rourkela","MR/RRK/000114","MR-RRK-2022-01-02-000240","NEW",1641108244782,1637605799000,1644219331928,"APPROVE","APPROVED","3a8928a6-0948-487e-b96a-c4139bead3c1","49838bde-cfc1-4fb5-9f0d-0a0a81cf856c",1641108244782,1644219331816,"MR","MR"
"ca6d30b9-36fa-45fc-8de5-f3e049689ec6","e5af6b39-8be3-4fef-85e3-9ed277260b55","od.vyasanagar","MR/VSN/000117","MR-VSN-2021-12-14-000195","NEW",1639461553007,1386181799000,1644230291654,"APPROVE","APPROVED","e5af6b39-8be3-4fef-85e3-9ed277260b55","4b37393f-bbc3-4b09-9a9d-61bb9f35ba7a",1639461553007,1644230291533,"MR","MR"
